name,333
CaSR1,5.412632849346561
CaSR2,5.411319588098779
CaSR3,5.40976486517389
CaSR4,5.411484270892064
Cai1,0.0010775730594506693
Cai2,0.0010703138314760818
Cai3,0.0010534941047550155
Cai4,0.0010197463076950348
Cass,0.00099284896944198
d,1.2414230430659337e-05
f1,0.9984267057782317
f2,0.9886680160544309
fca,0.5031672205114892
y,0.019987670146743807
pa,0.0001277286363445423
n,0.015238648288272422
ikur_r,0.00034779036023348606
ikur_s,0.9370263626379666
h1,0.8833189837632829
h2,0.7387149903656702
m,0.0030948118111301243
it_r,0.0010416402503003774
it_s,0.9503268350338205
V,-74.5319586591708
Ki,131.40064872154264
ryr_a1,0.504973334539979
ryr_a2,0.5049731886898858
ryr_a3,0.504972509344884
ryr_ass,0.5049642431921108
c1,5.484915260259376e-25
c2,8.623536275062254e-25
c3,3.355687662121607e-24
css,2.9192264903442425e-21
o1,0.999992814541663
o2,0.9999910906009463
o3,0.9999850929410452
oss,0.9998762804465746
serca_a1,0.03622933104868171
serca_a2,0.03622319272257418
serca_a3,0.03621015051329044
serca_ass,0.036170394476327375
Nai,14.868853316464651
Nass,14.973630116055938
fluo_1,0.005924486544622095
fluo_2,0.005908393078560637
fluo_3,0.005870494923090731
fluo_4,0.005792071181196916
fluo_ss,0.005727055188512467
CaSR,5.410987864734799
Cai,0.0010430784964882173
fluo,0.005845932239597011
