name,333
CaSR1,5.739846770703121
CaSR2,5.738493524201193
CaSR3,5.736997185179829
CaSR4,5.73886120430411
Cai1,0.0011571675626272989
Cai2,0.0011498098761715907
Cai3,0.0011331925930459545
Cai4,0.001100723859080437
Cass,0.0010758677116920862
d,1.8926221930548586e-05
f1,0.9979003707978024
f2,0.9861851676285643
fca,0.4631245898623348
y,0.018132450905331696
pa,0.00015242969027864939
n,0.014711847128999474
ikur_r,0.00046179351105010306
ikur_s,0.9385842009601103
h1,0.8279925652001382
h2,0.6956356855713021
m,0.004165882928770092
it_r,0.0013007385872707696
it_s,0.9392995067942471
V,-72.08443133224928
Ki,117.542709621292
ryr_a1,0.5049900763986933
ryr_a2,0.5049900135337986
ryr_a3,0.5049897428919319
ryr_ass,0.5049868088566708
c1,1.7844586699676916e-28
c2,2.9233628273725585e-28
c3,1.1564240574218497e-27
css,6.1487051444741685e-25
o1,0.999999497094802
o2,0.9999993727296653
o3,0.999998953172381
oss,0.9999922067105983
serca_a1,0.9155120755995337
serca_a2,0.9153749366146307
serca_a3,0.9150947953194434
serca_ass,0.9142840046008776
Nai,14.95174558141357
Nass,15.04107261595023
fluo_1,0.006095317048892816
fluo_2,0.006080315264424457
fluo_3,0.006045926403457475
fluo_4,0.005976805632498464
fluo_ss,0.005921973394780726
CaSR,5.738271356208413
Cai,0.0011233093005849127
fluo,0.0060245884438904105
