name
cav_C1_Ca
ecav_C1_Ca
RyR_C1
INa_CNa3
HERG
Istim
INa
INaCa
INaK
IpCa
ICab
INab
IKs
IKto
IKr
IClCa
ICaL
ICaT
IRyR
ISRLeak
ISERCA
ICaK
IK1
IfNa
IfK
ICaL13
INa_11
ICaLc
ICaLe
ICaL13c
ICaL13e
